Level,WL,Hanzi,Pinyin,Sino_Vietnamese,Traditional,Freq,Examples,Viet_Meaning,English_Meaning,,,,,,,,,,,,,,,,,,,,,,,
3,2,刀,dāo,đao,刀,2,刀 剪刀,Con dao,surname Dao,,,,,,,,,,,,,,,,,,,,,,,
3,3,导,dǎo,đạo,導,17,导演 领导 指导 导游 导致,"Dẫn đưa, đi trước đường gọi là tiền đạo 前導",,,,,,,,,,,,,,,,,,,,,,,,
3,3,底,dǐ,để,底,16,到底 底下 年底 彻底 底,Ðáy,(equivalent to 的 as possessive particle),,,,,,,,,,,,,,,,,,,,,,,
3,2,调,diào,"điều, điệu",調,23,调 调查 空调 强调 调整,Điều hòa,to transfer, to move (troops or cadres), to investigate, to enquire into, accent, view, argument, key (in music), mode (music), tune, tone, melody,,,,,,,,,,,,
3,3,订,dìng,đính,訂,9,订 预订 制订 签订 订单,Hai bên bàn bạc với nhau cho kĩ rồi mới thỏa thuận gọi là đính,to agree, to conclude, to draw up, to subscribe to (a newspaper etc), to order,,,,,,,,,,,,,,,,,,,
3,2,断,duàn,"đoạn, đoán",斷,15,不断 断 判断 诊断 中断,"Chặt đứt, chặt đứt làm hai mảnh gọi là đoạn",to break, to snap, to cut off, to give up or abstain from sth, to judge, (usu. used in the negative) absolutely, definitely, decidedly,,,,,,,,,,,,,,,,
3,3,顿,dùn,đốn,頓,5,顿 整顿 顿时 停顿 抑扬顿挫,Đốn thủ 頓首 lạy dập đầu sát đất,"to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal",,,,,,,,,,,,,,,,,,,,,,,
3,2,烦,fán,phiền,煩,7,麻烦 烦 不耐烦 烦闷 烦恼,Phiền (không được giản dị),to feel vexed, to bother, to trouble, superfluous and confusing, edgy,,,,,,,,,,,,,,,,,,,
3,2,反,fǎn,"phản, phiên",反,26,反对 反复 反应 反正 反,"Trái, đối lại với chữ chính 正",contrary, in reverse, inside out or upside down, to reverse, to return, to oppose, opposite, against, anti-, to rebel, to use analogy, instead, abbr. for 切 phonetic system,,,,,,,,,,,
3,3,范,fàn,phạm,範,9,范围 规范 模范 示范 防范,"Con ong, con ong trên đầu có mũ",,,,,,,,,,,,,,,,,,,,,,,,
3,3,防,fáng,phòng,防,17,防 防止 预防 防治 消防,Cái đê,to protect, to defend, to guard against, to prevent,,,,,,,,,,,,,,,,,,,,
3,3,访,fǎng,"phóng, phỏng",訪,7,访问 采访 拜访 出访 访谈,Tới tận nơi mà hỏi,,,,,,,,,,,,,,,,,,,,,,,,
3,,啡,fēi,"phê, phỉ",啡,1,咖啡,"Già phê 咖啡 một thứ uống cho tiêu, ta gọi là cà phê (café)",,,,,,,,,,,,,,,,,,,,,,,,
3,3,费,fèi,"phí, bỉ",費,23,费 费用 交费 浪费 收费,Tiêu phí,surname Fei,,,,,,,,,,,,,,,,,,,,,,,
3,3,丰,fēng,phong,豐,7,丰富 丰收 丰富多彩 丰厚 丰满,"Hạt đậu nây, vì thế nên cái gì thịnh vượng to lớn đều gọi là phong",,,,,,,,,,,,,,,,,,,,,,,,
3,2,否,fǒu,"phủ, bĩ",否,7,否定 否认 否则 是否 能否,Không,,,,,,,,,,,,,,,,,,,,,,,,
3,2,夫,fū,"phu, phù",夫,9,大夫 工夫 功夫 夫妇 夫妻,Ðàn ông,,,,,,,,,,,,,,,,,,,,,,,,
3,3,福,fú,phúc,福,6,福 幸福 祝福 福利 福气,"Phúc, những sự tốt lành đều gọi là phúc",surname Fu, abbr. for Fujian province 省,,,,,,,,,,,,,,,,,,,,,,
3,2,父,fù,"phụ, phủ",父,9,父母 父亲 父女 父子 师父,"Cha, bố",,,,,,,,,,,,,,,,,,,,,,,,
3,3,付,fù,phó,付,9,付 支付 对付 付出 付费,Giao phó cho 交付,surname Fu,,,,,,,,,,,,,,,,,,,,,,,
3,3,负,fù,phụ,負,13,负责 负担 负责人 胜负 负,"Cậy, cậy có chỗ tựa không sợ gọi là phụ",to bear, to carry (on one's back), to turn one's back on, to be defeated, negative (math. etc),,,,,,,,,,,,,,,,,,,
3,3,富,fù,phú,富,14,丰富 富 财富 富人 富有,Giàu,surname Fu,,,,,,,,,,,,,,,,,,,,,,,
3,3,概,gài,khái,概,8,大概 概念 概括 概况 概率,Gạt phẳng,,,,,,,,,,,,,,,,,,,,,,,,
3,3,赶,gǎn,cản,趕,10,赶 赶到 赶紧 赶快 赶不上,Đuổi theo,to overtake, to catch up with, to hurry, to rush, to try to catch (the bus etc), to drive (cattle etc) forward, to drive (sb) away, to avail oneself of (an opportunity), until, by (a certain time),,,,,,,,,,,,,,
3,2,敢,gǎn,cảm,敢,6,敢 勇敢 不敢当 敢于 敢情,Tiến lên,to dare, daring, (polite) may I venture,,,,,,,,,,,,,,,,,,,,,
3,3,格,gé,"cách, các",格,15,表格 合格 价格 性格 资格,Chính,square, frame, rule, (legal) case, style, character, standard, pattern, (grammar) case, (classical) to obstruct, to hinder, (classical) to arrive, to come, (classical) to investigate, to study exhaustively,,,,,,,,,
3,2,各,gè,các,各,8,各 各地 各位 各种 各自,Ðều,each, every,,,,,,,,,,,,,,,,,,,,,,
3,3,根,gēn,căn,根,10,根本 根 根据 根基 根深蒂固,Rễ cây,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; radical (chemistry)",,,,,,,,,,,,,,,,,,,,,,,
3,3,功,gōng,công,功,17,成功 功夫 功课 功能 多功能,Việc,meritorious deed or service, achievement, result, service, accomplishment, work (physics),,,,,,,,,,,,,,,,,,
3,3,姑,gū,cô,姑,2,姑娘 姑姑,Mẹ chồng,,,,,,,,,,,,,,,,,,,,,,,,
3,2,古,gǔ,cổ,古,12,古 古代 古老 古典 古董,Ngày xưa,surname Gu,,,,,,,,,,,,,,,,,,,,,,,
3,2,挂,guà,quải,掛,7,挂 挂钩 挂号 挂念 挂失,Cũng như chữ quải 掛,to hang or suspend (from a hook etc), to hang up (the phone), (of a line) to be dead, to be worried or concerned, to make a phone call (dialect), to register or record, classifier for sets or clusters of objects, (slang) to kill, to die, to be finished, to fail (an exam),,,,,,,,,,,,,
3,3,怪,guài,quái,怪,10,奇怪 怪 大惊小怪 古怪 怪不得,Lạ,bewildering, odd, strange, uncanny, devil, monster, to wonder at, to blame, quite, rather,,,,,,,,,,,,,,
3,2,管,guǎn,quản,管,21,管 管理 不管 吸管 尽管,Cái sáo nhỏ,variant of 管,,,,,,,,,,,,,,,,,,,,,,,
3,3,光,guāng,quang,光,34,不光 光 光明 阳光 灯光,"Sáng, các nhà khoa học bây giờ nghiên cứu cái nguyên lý về bóng sáng, chất sáng gọi là quang học 光學",light, ray, bright, shiny, only, merely, used up, finished, to leave (a part of the body) uncovered,,,,,,,,,,,,,,,
3,3,规,guī,quy,規,14,规定 规范 大规模 规律 规模,Cái khuôn tròn,,,,,,,,,,,,,,,,,,,,,,,,
3,2,哈,hā,cáp,哈,1,哈哈,Uống nước,"abbr. for 哈萨克斯坦, Kazakhstan; abbr. for 哈尔滨, Harbin",,,,,,,,,,,,,,,,,,,,,,,
3,3,害,hài,"hại, hạt",害,21,害怕 危害 伤害 害 厉害,Hại,to do harm to, to cause trouble to, harm, evil, calamity,,,,,,,,,,,,,,,,,,,
3,3,何,hé,hà,何,10,任何 如何 为何 何必 何处,"Sao, gì, lời nói vặn lại",,,,,,,,,,,,,,,,,,,,,,,,
3,3,互,hù,hỗ,互,8,互联网 互相 相互 互动 互补,Ðắp đổi hai bên cùng thay đổi với nhau,,,,,,,,,,,,,,,,,,,,,,,,
3,2,华,huá,"hoa, hóa",華,12,华人 中华民族 华语 中华 才华,Nước Tàu,,,,,,,,,,,,,,,,,,,,,,,,
3,2,化,huà,hóa,化,34,变化 化 现代化 文化 消化,Biến hóa,variant of 花,,,,,,,,,,,,,,,,,,,,,,,
3,3,环,huán,hoàn,環,8,环 环保 环境 环节 循环,Cái vòng ngọc,surname Huan,,,,,,,,,,,,,,,,,,,,,,,
3,3,婚,hūn,hôn,婚,7,结婚 离婚 婚礼 订婚 婚纱,"Lấy vợ, con dâu",,,,,,,,,,,,,,,,,,,,,,,,
3,3,积,jī,"tích, tí",積,11,积极 面积 积极性 积累 体积,Chứa góp,to amass, to accumulate, to store, measured quantity (such as area of volume), product (the result of multiplication), to integrate (math.), to solve (or integrate) an ordinary differential equation (math.), old, long-standing,,,,,,,,,,,,,,,
3,3,基,jī,cơ,基,12,基本 基本上 基础 基地 基金,Nền nhà,,,,,,,,,,,,,,,,,,,,,,,,
3,2,及,jí,cập,及,16,及时 普及 及格 来不及 来得及,"Kịp, đến",and, to reach, up to, in time for,,,,,,,,,,,,,,,,,,,,
3,3,极,jí,cực,極,16,积极 极了 积极性 极 极其,"Cái nóc nhà, nay gọi các sự vật gì rất cao là cực là bởi nghĩa đó","extremely; pole (geography, physics); utmost; top",,,,,,,,,,,,,,,,,,,,,,,
3,3,集,jí,tập,集,20,集体 集中 集合 集团 收集,"Đậu, đàn chim đậu ở trên cây gọi là tập, chim đang bay đỗ xuống cũng gọi là tập",to gather, to collect, collected works, classifier for sections of a TV series etc: episode,,,,,,,,,,,,,,,,,,,,
3,3,纪,jì,kỉ,紀,10,纪录 纪念 年纪 世纪 纪律,"Gỡ sợi tơ, gỡ mối tơ rối, vì thế nên liệu lý xong công việc gọi là kinh kỉ 經紀",,,,,,,,,,,,,,,,,,,,,,,,
3,3,技,jì,kĩ,技,12,技术 科技 技巧 技能 高科技,Nghề,,,,,,,,,,,,,,,,,,,,,,,,
3,3,济,jì,"tể, tế",濟,6,经济 接济 救济 市场经济 同舟共济,Sông Tể,,,,,,,,,,,,,,,,,,,,,,,,
3,3,继,jì,kế,繼,9,继续 继承 继 继而 继父,"Nối theo, nối dõi",to continue, to follow after, to go on with, to succeed, to inherit, then, afterwards,,,,,,,,,,,,,,,,,
3,3,价,jià,giới,價,24,价格 价钱 价值 票价 评价,"Thiện, lớn",price, value, (chemistry) valence,,,,,,,,,,,,,,,,,,,,,
3,3,架,jià,giá,架,9,吵架 架 书架 衣架 打架,Cái giá,"to support; frame; rack; framework; classifier for planes, large vehicles, radios etc",,,,,,,,,,,,,,,,,,,,,,,
3,3,坚,jiān,kiên,堅,11,坚持 坚决 坚强 坚固 坚定,Bền chặt,,,,,,,,,,,,,,,,,,,,,,,,
3,3,简,jiǎn,giản,簡,13,简单 简直 简历 简介 简称,Cái thẻ tre,,,,,,,,,,,,,,,,,,,,,,,,
3,3,建,jiàn,"kiến, kiển",建,20,建 建成 建立 建设 建议,"Dựng lên, đặt",to establish, to found, to set up, to build, to construct,,,,,,,,,,,,,,,,,,,
3,3,将,jiāng,"tương, thương, tướng",將,8,将近 将来 即将 将 将要,"Sắp, sẽ, rồi mới","will; shall; to use; to take; to checkmate; just a short while ago; (introduces object of main verb, used in the same way as 把)",,,,,,,,,,,,,,,,,,,,,,,
3,,蕉,jiāo,tiêu,蕉,1,香蕉,Gai sống,,,,,,,,,,,,,,,,,,,,,,,,
3,3,较,jiào,"giác, giếu, giảo",較,5,比较 较 计较 较劲 较量,Cái tay xe,to compare, to dispute, compared to, (before adj.) relatively, comparatively, rather, also pr. [jiǎo],,,,,,,,,,,,,,,,,
3,3,解,jiě,"giải, giới, giái",解,33,解决 解开 理解 缓解 解释,"Bửa ra, mổ ra",surname Xie,,,,,,,,,,,,,,,,,,,,,,,
3,3,界,jiè,giới,界,16,世界 世界杯 全世界 外界 界,"Cõi, mốc",(bound form) boundary, border, (bound form) realm,,,,,,,,,,,,,,,,,,,,,
3,3,金,jīn,kim,金,22,金 金牌 现金 资金 黄金,Loài kim,surname Jin, surname Kim (Korean), Jurchen Jin dynasty (1115-1234),,,,,,,,,,,,,,,,,,,,,
3,3,仅,jǐn,cận,僅,5,不仅 仅 仅仅 不仅仅 仅次于,"Nừng, ít, chỉ có thế gọi là cận",barely, only, merely,,,,,,,,,,,,,,,,,,,,,
3,3,紧,jǐn,khẩn,緊,16,赶紧 紧 紧急 紧张 不要紧,"Trói chặt, căng, đánh sợi soăn mau",tight, strict, close at hand, near, urgent, tense, hard up, short of money, to tighten,,,,,,,,,,,,,,,
3,3,精,jīng,tinh,精,26,精彩 精神 精力 精 精美,Giã gạo cho trắng tinh (gạo ngon),essence, extract, vitality, energy, semen, sperm, mythical goblin spirit, highly perfected, elite, the pick of sth, proficient (refined ability), extremely (fine), selected rice (archaic),,,,,,,,,,,
3,3,景,jǐng,cảnh,景,13,景色 背景 风景 情景 景象,"Cảnh, cái gì hình sắc phân phối có vẻ đẹp thú đều gọi là cảnh",surname Jing,,,,,,,,,,,,,,,,,,,,,,,
3,3,警,jǐng,cảnh,警,9,交警 警察 报警 警告 民警,"Răn bảo, lấy lời nói ghê gớm khiến cho người phải chú ý nghe gọi là cảnh",,,,,,,,,,,,,,,,,,,,,,,,
3,3,境,jìng,cảnh,境,13,环境 边境 出境 处境 过境,Cõi,,,,,,,,,,,,,,,,,,,,,,,,
3,3,旧,jiù,cựu,舊,6,旧 仍旧 依旧 陈旧 怀旧,Cũ,old, opposite: new 新, former, worn (with age),,,,,,,,,,,,,,,,,,,,
3,3,救,jiù,cứu,救,18,救 救灾 抢救 急救 救命,Ngăn,variant of 救,,,,,,,,,,,,,,,,,,,,,,,
3,3,具,jù,cụ,具,10,工具 家具 具体 具有 玩具,Bầy đủ,,,,,,,,,,,,,,,,,,,,,,,,
3,3,剧,jù,kịch,劇,20,电视剧 话剧 京剧 剧场 连续剧,Quá lắm,"theatrical work (play, opera, TV series etc); dramatic (change, increase etc); acute; severe",,,,,,,,,,,,,,,,,,,,,,,
3,3,据,jù,"cư, cứ",據,13,据说 证据 根据 数据 依据,"Bệnh tay, kiết cư 拮据 bệnh tay",variant of 据,,,,,,,,,,,,,,,,,,,,,,,
3,3,决,jué,quyết,決,16,坚决 解决 决定 决赛 决心,Tục dùng như chữ 決,,,,,,,,,,,,,,,,,,,,,,,,
3,3,绝,jué,tuyệt,絕,13,绝对 拒绝 绝望 绝 绝大多数,"Ðứt, phàm cái gì sấn đứt ngang đều gọi là tuyệt",to cut short, extinct, to disappear, to vanish, absolutely, by no means,,,,,,,,,,,,,,,,,,
3,,咖,kā,già,咖,1,咖啡,Già phê 咖啡 cây cà phê,,,,,,,,,,,,,,,,,,,,,,,,
3,3,恐,kǒng,"khủng, khúng",恐,7,恐怕 恐怖 恐吓 恐慌 恐惧,Sợ,,,,,,,,,,,,,,,,,,,,,,,,
3,3,苦,kǔ,khổ,苦,19,痛苦 苦 艰苦 酸甜苦辣 辛苦,Ðắng,bitter, hardship, pain, to suffer, to bring suffering to, painstakingly,,,,,,,,,,,,,,,,,,
3,,裤,kù,khố,褲,3,短裤 裤子 牛仔裤,Tục dùng như chữ khố 袴,,,,,,,,,,,,,,,,,,,,,,,,
3,2,况,kuàng,huống,況,7,情况 状况 概况 何况 况且,"Phương chi, là một tiếng giáo đầu",,,,,,,,,,,,,,,,,,,,,,,,
3,2,困,kùn,khốn,困,6,困 困难 困扰 贫困 困惑,Khốn cùng,to trap, to surround, hard-pressed, stranded, destitute,,,,,,,,,,,,,,,,,,,
3,3,浪,làng,"lãng, lang",浪,8,浪费 浪漫 波浪 海浪 冲浪,Sóng,wave, breaker, unrestrained, dissipated, to stroll, to ramble,,,,,,,,,,,,,,,,,,
3,3,类,lèi,loại,類,10,类 类似 人类 类型 种类,Loài giống,kind, type, class, category, similar, like, to resemble,,,,,,,,,,,,,,,,,
3,2,李,lǐ,lý,李,1,行李,Cây mận,,,,,,,,,,,,,,,,,,,,,,,,
3,3,立,lì,lập,立,29,成立 建立 立刻 设立 独立,Ðứng thẳng,surname Li,,,,,,,,,,,,,,,,,,,,,,,
3,3,丽,lì,"lệ, ly",麗,7,美丽 风和日丽 华丽 亮丽 秀丽,Ðẹp,,,,,,,,,,,,,,,,,,,,,,,,
3,2,连,lián,liên,連,16,连 连忙 连续 连续剧 接连,Liền,surname Lian,,,,,,,,,,,,,,,,,,,,,,,
3,3,联,lián,liên,聯,14,互联网 联合 联合国 联系 联络,Liền nối,,,,,,,,,,,,,,,,,,,,,,,,
3,3,烈,liè,liệt,烈,8,强烈 热烈 激烈 剧烈 烈士,"Cháy dữ, lửa mạnh",,,,,,,,,,,,,,,,,,,,,,,,
3,3,领,lǐng,lĩnh,領,26,本领 带领 领 领导 领先,Cái cổ,"neck; collar; to lead; to receive; classifier for clothes, mats, screens etc",,,,,,,,,,,,,,,,,,,,,,,
3,2,另,lìng,lánh,另,3,另外 另一方面 另,Riêng,other, another, separate, separately,,,,,,,,,,,,,,,,,,,,
3,2,龙,lóng,"long, sủng",龍,9,龙 画龙点睛 恐龙 来龙去脉 龙舟,Con rồng,surname Long,,,,,,,,,,,,,,,,,,,,,,,
3,3,录,lù,lục,錄,12,记录 纪录 录 录音 登录,Sao chép,to carve wood,,,,,,,,,,,,,,,,,,,,,,,
3,3,乱,luàn,loạn,亂,12,乱 混乱 捣乱 胡思乱想 慌乱,"Loạn, bối rối không yên gọi là loạn",in confusion or disorder, in a confused state of mind, disorder, upheaval, riot, illicit sexual relations, to throw into disorder, to mix up, indiscriminate, random, arbitrary,,,,,,,,,,,,,
3,3,落,luò,lạc,落,21,落后 降落 落 落实 段落,Rụng,to leave out, to be missing, to leave behind or forget to bring, to lag or fall behind,,,,,,,,,,,,,,,,,,,,
3,2,麻,má,ma,麻,8,麻烦 麻 麻痹 麻将 麻辣,Ðại ma 大麻 cây gai,variant of 麻, hemp,,,,,,,,,,,,,,,,,,,,,,
3,3,冒,mào,"mạo, mặc",冒,7,感冒 冒 假冒 冒充 冒犯,Trùm đậy,old variant of 冒,,,,,,,,,,,,,,,,,,,,,,,
3,3,媒,méi,môi,媒,3,媒体 传媒 多媒体,"Mối, mưu cho hai họ kết dâu gia với nhau gọi là môi",,,,,,,,,,,,,,,,,,,,,,,,
3,1,每,měi,"mỗi, môi",每,3,每 每当 每逢,Thường,each, every,,,,,,,,,,,,,,,,,,,,,,
3,2,美,měi,mỹ,美,29,美 美好 美丽 美食 美术,"Ðẹp, cái gì có vẻ đẹp khiến cho mình thấy lấy làm thích đều gọi là mỹ",(bound form) the Americas (abbr. for 洲), (bound form) USA (abbr. for 美国),,,,,,,,,,,,,,,,,,,,,,
3,3,迷,mí,mê,迷,17,歌迷 迷 球迷 迷人 迷信,Lạc,to bewilder, crazy about, fan, enthusiast, lost, confused,,,,,,,,,,,,,,,,,,
3,2,民,mín,dân,民,28,公民 民间 民族 农民 人民,"Người, dân, loài người thuộc ở dưới quyền chính trị gọi là dân",,,,,,,,,,,,,,,,,,,,,,,,
3,3,命,mìng,mệnh,命,17,命运 生命 命令 救命 命,Sai khiến,"life; fate; order or command; to assign a name, title etc",,,,,,,,,,,,,,,,,,,,,,,
3,3,某,mǒu,mỗ,某,1,某,"Mỗ, dùng làm tiếng đệm",some, a certain, sb or sth indefinite, such-and-such,,,,,,,,,,,,,,,,,,,,
3,3,母,mǔ,mẫu,母,11,父母 母亲 字母 母 母鸡,Mẹ,mother, elderly female relative, origin, source, (of animals) female,,,,,,,,,,,,,,,,,,,
3,1,木,mù,mộc,木,7,木头 麻木 木板 木材 木匠,"Cây, cây to dùng làm nhà cửa đồ đạc được gọi là kiều mộc 喬木, cây có cành mọc là là gần đất gọi là quán mộc 灌木",,,,,,,,,,,,,,,,,,,,,,,,
3,3,内,nèi,"nội, nạp",內,22,国内 内 内容 内心 内部,"Ở trong, đối với chữ ngoại 外 ngoài",inside, inner, internal, within, interior,,,,,,,,,,,,,,,,,,,
3,2,念,niàn,niệm,念,19,概念 观念 纪念 念 怀念,Nghĩ nhớ,"variant of 念, to read aloud",,,,,,,,,,,,,,,,,,,,,,,
3,3,娘,niáng,nương,娘,3,姑娘 新娘 娘,"Nàng, con gái trẻ tuổi gọi là nương tử 娘子 hay cô nương 姑娘 cô nàng",mother, young lady, (coll.) effeminate,,,,,,,,,,,,,,,,,,,,,
3,3,农,nóng,nông,農,8,农村 农民 农业 农产品 农场,Nghề làm ruộng,,,,,,,,,,,,,,,,,,,,,,,,
3,3,暖,nuǎn,noãn,暖,8,暖和 温暖 暖气 暖 保暖,Ám áp,old variant of 暖,,,,,,,,,,,,,,,,,,,,,,,
3,3,拍,pāi,phách,拍,7,拍 拍照 拍摄 球拍 拍板,"Vả, tát, vỗ",to pat, to clap, to slap, to swat, to take (a photo), to shoot (a film), racket (sports), beat (music),,,,,,,,,,,,,,,,
3,2,牌,pái,bài,牌,13,金牌 牌子 银牌 名牌儿 牌,"Cái bảng, dùng mảnh ván đề chữ làm dấu hiệu hay yết thị gọi là chiêu bài 招牌 hay bài thị 牌示",mahjong tile, playing card, game pieces, signboard, plate, tablet, medal,,,,,,,,,,,,,,,,,
3,3,派,pài,phái,派,5,派 派出 派别 派遣 气派,Dòng nước,clique, school, group, faction, to dispatch, to send, to assign, to appoint, pi (Greek letter Ππ), the circular ratio pi = 3.1415926, (loanword) pie,,,,,,,,,,,,,
3,3,判,pàn,phán,判,10,判断 谈判 裁判 判 判处,Lìa rẽ,to judge, to sentence, to discriminate, to discern, clearly distinguishable,,,,,,,,,,,,,,,,,,,
3,2,胖,pàng,"bàn, phán",胖,3,胖 胖子 肥胖,"Lớn, mập",healthy, at ease,,,,,,,,,,,,,,,,,,,,,,
3,3,配,pèi,phối,配,13,分配 配 配合 配备 配套,Đôi lứa,to join, to fit, to mate, to mix, to match, to deserve, to make up (a prescription), to allocate,,,,,,,,,,,,,,,,
3,3,批,pī,phê,批,8,批评 批准 批 大批 批发,"Vả, lấy tay đánh vào mặt người gọi là phê","to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)",,,,,,,,,,,,,,,,,,,,,,,
3,3,皮,pí,bì,皮,9,皮 皮包 调皮 皮肤 皮鞋,Da,surname Pi,,,,,,,,,,,,,,,,,,,,,,,
3,3,品,pǐn,phẩm,品,31,商品 食品 作品 产品 品质,Nhiều thứ,(bound form) article, commodity, product, goods, (bound form) grade, rank, kind, type, variety, character, disposition, nature, temperament, to taste sth, to sample, to criticize, to comment, to judge, to size up, fret (on a guitar or lute),,,,
3,3,评,píng,bình,評,13,批评 评价 评估 评论 评,"Phê bình, bình phẩm, nghĩa là đem việc gì đã làm hay văn chương sách vở đã làm ra mà bàn định phải trái hay dở vậy",to discuss, to comment, to criticize, to judge, to choose (by public appraisal),,,,,,,,,,,,,,,,,,,
3,2,苹,píng,bình,蘋,1,苹果,"Cỏ bình, một loài thanh hao trắng",,,,,,,,,,,,,,,,,,,,,,,,
3,3,破,pò,phá,破,13,打破 破 破坏 破产 突破,Phá vỡ,"broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of",,,,,,,,,,,,,,,,,,,,,,,
3,3,齐,qí,"tề, tư, trai",齊,5,齐 整齐 齐全 一齐 齐心协力,"Chỉnh tề, không có so le lẫn lộn gọi là tề",(name of states and dynasties at several different periods), surname Qi,,,,,,,,,,,,,,,,,,,,,,
3,3,奇,qí,"kì, cơ",奇,13,好奇 奇怪 神奇 奇妙 传奇,Lạ,,,,,,,,,,,,,,,,,,,,,,,,
3,3,器,qì,khí,器,16,机器 武器 充电器 器官 机器人,Ðồ,,,,,,,,,,,,,,,,,,,,,,,,
3,3,强,qiáng,cường,強,28,加强 坚强 强 强大 强调,"Mạnh, cũng như chữ cường 疆",surname Qiang,,,,,,,,,,,,,,,,,,,,,,,
3,3,桥,qiáo,"kiều, khiêu, cao",橋,4,桥 桥梁 立交桥 天桥,Cái cầu (cầu cao mà cong),bridge,,,,,,,,,,,,,,,,,,,,,,,
3,3,巧,qiǎo,xảo,巧,11,巧 技巧 巧克力 巧妙 凑巧,Khéo,opportunely, coincidentally, as it happens, skillful, timely,,,,,,,,,,,,,,,,,,,
3,3,切,qiè,"thiết, thế",切,13,亲切 一切 密切 迫切 切,Cắt,to cut, to slice, to carve, (math) tangential,,,,,,,,,,,,,,,,,,,,
3,3,亲,qīn,"thân, thấn",親,22,父亲 母亲 亲 亲切 亲人,"Tới luôn, quen",parent, one's own (flesh and blood), relative, related, marriage, bride, close, intimate, in person, first-hand, in favor of, pro-, to kiss, (Internet slang) dear,,,,,,,,,,
3,3,庆,qìng,"khánh, khương, khanh",慶,6,国庆 庆祝 庆典 庆贺 庆幸,Mừng,,,,,,,,,,,,,,,,,,,,,,,,
3,2,区,qū,"khu, âu",區,16,地区 区 区别 市区 郊区,Chia từng loài,surname Ou,,,,,,,,,,,,,,,,,,,,,,,
3,3,缺,quē,khuyết,缺,12,缺 缺点 缺少 缺乏 缺陷,"Ðồ sứt mẻ, phàm cái gì không được toàn vẹn đều gọi là khuyết",deficiency, lack, scarce, vacant post, to run short of,,,,,,,,,,,,,,,,,,,
3,,裙,qún,quần,裙,1,裙子,"Cái quần, cái niệm",,,,,,,,,,,,,,,,,,,,,,,,
3,3,群,qún,quần,群,6,群 人群 群体 群众 成群结队,Cũng như chữ quần 羣,variant of 群,,,,,,,,,,,,,,,,,,,,,,,
3,3,任,rèn,"nhâm, nhậm",任,23,任 任何 任务 信任 责任,"Dốc lòng thành, lấy tâm ý cùng tin nhau gọi là nhâm",surname Ren, Ren County 任县 in Hebei,,,,,,,,,,,,,,,,,,,,,,
3,3,仍,réng,nhưng,仍,3,仍 仍然 仍旧,"Nhân, vẫn",still, yet, to remain, (literary) frequently, often,,,,,,,,,,,,,,,,,,,
3,3,容,róng,dong,容,21,内容 容易 形容 好容易 好不容易,Bao dong chịu đựng,,,,,,,,,,,,,,,,,,,,,,,,
3,3,赛,sài,"tái, trại",賽,13,比赛 决赛 大奖赛 竞赛 半决赛,"Báo đền, giả ơn, tái thần 賽神 báo ơn thần",to compete, competition, match, to surpass, better than, superior to, to excel,,,,,,,,,,,,,,,,,
3,3,散,sàn,"tán, tản",散,9,散步 分散 散 散文 解散,Tan,variant of 散,,,,,,,,,,,,,,,,,,,,,,,
3,3,沙,shā,"sa, sá",沙,6,沙发 沙子 沙漠 风沙 沙龙,Cát,,,,,,,,,,,,,,,,,,,,,,,,
3,,衫,shān,sam,衫,1,衬衫,"Áo đơn, áo lót mình",,,,,,,,,,,,,,,,,,,,,,,,
3,3,善,shàn,"thiện, thiến",善,9,完善 改善 善良 善于 慈善,"Thiện, lành, đối lại với chữ ác 惡",good (virtuous), benevolent, well-disposed, good at sth, to improve or perfect,,,,,,,,,,,,,,,,,,,
3,3,伤,shāng,thương,傷,16,伤 伤心 受伤 伤害 悲伤,Vết đau,to injure, injury, wound,,,,,,,,,,,,,,,,,,,,,
3,3,设,shè,thiết,設,15,建设 设备 设计 设立 设施,"Sắp bày, đặt bày",to set up, to put in place, (math.) given, suppose, if,,,,,,,,,,,,,,,,,,,
3,2,社,shè,xã,社,11,旅行社 社会 社 社区 报社,Ðền thờ thổ địa,(bound form) society, organization, agency, (old) god of the land,,,,,,,,,,,,,,,,,,,,
3,2,深,shēn,thâm,深,21,深 深刻 深入 深厚 深处,Bề sâu,old variant of 深,,,,,,,,,,,,,,,,,,,,,,,
3,3,神,shén,thần,神,15,精神 神话 神秘 神 神经,Thiên thần,God, abbr. for 舟,,,,,,,,,,,,,,,,,,,,,,
3,3,升,shēng,thăng,升,14,上升 升 毫升 升高 升级,"Thưng, mười lẻ là một thưng",to ascend, to rise to the rank of, to promote, to hoist, liter, measure for dry grain equal to one-tenth dou 斗,,,,,,,,,,,,,,,,,,
