Level,WL,Hanzi,Pinyin,Sino_Vietnamese,Traditional,Freq,Examples,Viet_Meaning,English_Meaning,,,,,,,,,,,,,,,,,,,,,,,
1,2,床,chuáng,sàng,床,5,床 起床 病床 床位 临床,Cũng như chữ sàng 牀,bed, couch, classifier for beds,,,,,,,,,,,,,,,,,,,,,
1,1,次,cì,thứ,次,19,次 上次 下次 其次 多次,"Lần lượt, dưới bậc trên trở xuống bét đều gọi là thứ","next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",,,,,,,,,,,,,,,,,,,,,,,
1,1,从,cóng,tòng,從,23,从 从小 从来 从前 从事,Cùng nghĩa như chữ tòng 從 theo,variant of 从,,,,,,,,,,,,,,,,,,,,,,,
1,1,错,cuò,thác,錯,13,错 不错 错误 没错 错过,"Hòn đá ráp, đá mài",surname Cuo,,,,,,,,,,,,,,,,,,,,,,,
1,1,答,dá,đáp,答,8,回答 答应 答案 报答 答,"Báo đáp, đáp lại","bound form having the same meaning as the free word 答, used in 答应, 理 etc",,,,,,,,,,,,,,,,,,,,,,,
1,1,打,dǎ,đả,打,46,打 打车 打电话 打开 打球,Ðánh đập,dozen (loanword),,,,,,,,,,,,,,,,,,,,,,,
1,1,大,dà,"đại, thái",大,111,不大 大 大学 大学生 大部分,Lớn,big, large, great, older (than another person), eldest (as in 姐), greatly, freely, fully, (dialect) father, (dialect) uncle (father's brother),,,,,,,,,,,,,,
1,1,蛋,dàn,đản,蛋,6,鸡蛋 蛋 蛋糕 笨蛋 蛋白质,Một giống mán ở phương nam,variant of 蜑,,,,,,,,,,,,,,,,,,,,,,,
1,1,到,dào,đáo,到,49,到 得到 回到 看到 来到,Ðến nơi,to reach, to arrive, to leave for, to go to, to (a place), until (a time), up to (a point), (verb complement indicating arriving at a place or reaching a point), considerate, thoughtful, thorough,,,,,,,,,,,,,
1,1,道,dào,"đạo, đáo",道,39,知道 道 道理 道路 味道,Đường cái thẳng,"road; path; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)",,,,,,,,,,,,,,,,,,,,,,,
1,1,得,dé,đắc,得,58,得到 记得 觉得 得 得出,Ðược,to obtain, to get, to gain, to catch (a disease), proper, suitable, proud, contented, to allow, to permit, ready, finished,,,,,,,,,,,,
1,1,地,dì,địa,地,67,地 地点 地方 地上 地图,"Ðất, đựng chứa muôn vật cõi đời gọi là địa","-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",,,,,,,,,,,,,,,,,,,,,,,
1,1,的,de,"đích, để",的,15,别的 的 有的 真的 的话,"Thấy rõ, lộ ra ngoài",of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis), also pr. [dì] or [di] in poetry and songs,,,,,,,,,,,,,,,,,,
1,1,等,děng,đẳng,等,12,等 等到 等于 平等 等待,Bực,class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once,,,,,,,,,,,
1,2,弟,dì,"đệ, đễ",弟,6,弟弟 弟 兄弟 徒弟 弟子,Em trai,younger brother, junior male, I (modest word in letter),,,,,,,,,,,,,,,,,,,,,
1,1,第,dì,đệ,第,4,第 第二 第一手 第一线,Thứ đệ,"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just",,,,,,,,,,,,,,,,,,,,,,,
1,1,点,diǎn,điểm,點,42,地点 点 一点儿 点头 观点,Tục dùng như chữ điểm 點,point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更, dot stroke in Chinese characters, classifier for items,,,,,,
1,1,电,diàn,điện,電,41,打电话 电 电话 电脑 电视,"Chớp, điện",lightning, electricity, electric (bound form), to get (or give) an electric shock, phone call or telegram etc, to send via telephone or telegram etc,,,,,,,,,,,,,,,,,,
1,1,店,diàn,điếm,店,10,饭店 商店 书店 店 酒店,"Tiệm, chỗ để chứa đồ cầm đồ, tục gọi nhà trọ là khách điếm 客店",inn, old-style hotel, (bound form) shop, store,,,,,,,,,,,,,,,,,,,,
1,1,东,dōng,đông,東,12,东 东边 东西 东北 东方,"Phương đông, tục gọi người chủ là đông",surname Dong,,,,,,,,,,,,,,,,,,,,,,,
1,1,动,dòng,động,動,75,动 动作 动物 动物园 感动,"Ðộng, bất cứ vật gì, không bàn là tự sức mình, hay tự sức khác mà chuyển sang chỗ khác đều gọi là động","(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 动词, verb",,,,,,,,,,,,,,,,,,,,,,,
1,1,都,dōu,đô,都,6,都 首都 大都 全都 都市,"Kinh đô, kẻ chợ",surname Du,,,,,,,,,,,,,,,,,,,,,,,
